project_title,business_description,team_size,avg_team_experience,technical_skill_score,business_skill_score,market_size_usd,market_growth_rate,competition_level,project_domain,innovation_type,funding_stage,education_level,social_media_mentions,user_interest_score,mentor_feedback_score,competitiveness_score,competitiveness_class
Blockchain-Powered Digital Payments,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,2,1.69,7,10,585607,22.72,7,EdTech,Disruptive,Prototype,UG,1656,90,8,35.44,Low
Smart Waste Management Solution,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,6,1.63,9,10,8116813,6.1,3,FinTech,Incremental,Idea,PG,2666,38,6,25.68,Low
Online Mental Health Support Platform,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,5,4.35,6,5,2624093,22.95,7,EdTech,Disruptive,MVP,UG,43,52,3,17.93,Low
Blockchain-Powered Digital Payments,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,4,0.63,4,8,4625743,19.78,2,AI,Disruptive,Idea,PhD,3066,64,6,26.84,Low
AI-Powered Fraud Detection System,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,3,3.11,10,8,617612,22.54,9,EdTech,Incremental,Idea,UG,3630,76,9,38.43,Low
Virtual Reality Learning Environment,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,1,3.78,9,3,2441284,17.39,8,E-commerce,Incremental,Idea,UG,4300,100,6,27.08,Low
AI-Powered Fraud Detection System,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,6,0.59,1,7,2606279,18.15,7,FinTech,Disruptive,Idea,UG,3379,79,5,22.61,Low
Smart Healthcare Monitoring Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,5,1.0,2,7,1379693,14.19,7,EdTech,Disruptive,Prototype,PG,2224,1,9,32.56,Low
E-Learning Personalization Engine,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,6,4.34,5,6,3004677,1.56,9,AgriTech,Incremental,MVP,PhD,3331,3,1,6.67,Low
Personalized Nutrition Recommendation System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,6,4.61,3,4,9767946,23.02,9,AgriTech,Disruptive,Prototype,PG,3342,38,7,28.46,Low
Personalized Nutrition Recommendation System,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,4,4.5,9,4,5243643,19.46,6,EdTech,Disruptive,MVP,PhD,2045,14,3,17.07,Low
AI-Based Crop Monitoring System,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,1.92,2,3,6464935,0.85,4,AI,Disruptive,MVP,UG,3487,9,7,22.85,Low
E-Learning Personalization Engine,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,2,3.95,4,10,9793545,5.92,6,EdTech,Incremental,MVP,UG,4207,67,9,33.72,Low
Smart Waste Management Solution,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,2,4.97,9,5,4891923,10.37,5,E-commerce,Disruptive,Prototype,PG,2600,19,7,27.65,Low
Fitness Tracking and Recommendation App,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,6,2.07,5,10,1865121,23.83,4,AgriTech,Incremental,Idea,UG,4746,86,2,16.99,Low
Smart Healthcare Monitoring Platform,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,2,0.93,1,7,1071449,6.51,6,HealthTech,Disruptive,MVP,PG,4326,9,7,24.88,Low
Online Event Management Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,1,3.76,5,4,6999823,11.4,4,FinTech,Incremental,Idea,PG,2134,75,4,18.48,Low
Cloud-Based Business Intelligence Platform,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,1,4.77,8,8,952980,22.79,1,FinTech,Disruptive,Prototype,UG,1294,89,2,17.14,Low
Online Event Management Platform,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,6,4.91,5,10,5210444,10.18,3,E-commerce,Incremental,Idea,UG,949,22,10,36.98,Low
Online Event Management Platform,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,2.93,7,4,9854648,10.45,10,EdTech,Disruptive,Prototype,UG,190,77,4,18.93,Low
AI Resume Screening Tool,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,1,1.81,2,6,8083386,9.54,8,EdTech,Disruptive,Idea,PhD,2972,21,1,7.73,Low
Fitness Tracking and Recommendation App,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,4.41,10,2,5729267,6.8,2,AI,Disruptive,MVP,PhD,1025,67,8,30.3,Low
AI Chatbot for Customer Service,A personalized nutrition system that recommends diet plans based on user health data and lifestyle.,4,1.78,10,3,3581033,12.1,3,FinTech,Disruptive,Prototype,UG,2652,54,6,25.4,Low
E-Learning Personalization Engine,An AI-based fraud detection system that identifies suspicious financial activities in real time.,1,1.37,4,3,2124732,3.2,2,EdTech,Disruptive,Idea,UG,1896,45,8,27.64,Low
Online Mental Health Support Platform,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",5,2.31,4,2,2774481,20.61,5,AgriTech,Incremental,Idea,PG,4302,49,10,36.9,Low
AI Chatbot for Customer Service,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,1.94,3,3,3370966,23.67,1,HealthTech,Disruptive,Idea,UG,4621,93,10,38.39,Low
Smart Traffic Management System,An AI-driven system that monitors crop health and provides real-time recommendations to improve agricultural productivity and sustainability.,3,0.44,1,10,2127347,8.27,4,EdTech,Disruptive,Idea,PhD,3682,55,7,27.05,Low
E-Learning Personalization Engine,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,2,3.46,9,1,937510,23.12,5,FinTech,Disruptive,Idea,PhD,3325,64,10,38.9,Low
Smart Waste Management Solution,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,6,0.14,5,1,9156947,23.45,3,EdTech,Incremental,Idea,UG,106,72,7,28.93,Low
Cloud-Based Business Intelligence Platform,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,5,1.41,7,4,774797,12.76,10,HealthTech,Disruptive,MVP,UG,888,87,1,10.59,Low
AI Chatbot for Customer Service,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,3,0.23,5,1,3816501,6.04,2,HealthTech,Incremental,Idea,UG,1242,6,8,27.13,Low
IoT Smart Home Automation Solution,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,6,4.57,4,9,9635589,14.83,7,EdTech,Incremental,MVP,UG,1586,58,1,11.03,Low
Virtual Reality Learning Environment,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,5,4.02,10,10,4729902,1.46,10,FinTech,Incremental,Prototype,PG,1036,18,7,27.65,Low
Online Mental Health Support Platform,A smart traffic control system that reduces congestion using real-time data and AI-based signal optimization.,3,4.17,8,9,2664589,7.22,6,FinTech,Incremental,MVP,PhD,4370,55,5,22.64,Low
Digital Marketplace for Local Businesses,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",4,0.93,6,9,9580032,21.7,5,EdTech,Incremental,Idea,UG,1244,54,6,27.92,Low
AI Resume Screening Tool,An automated financial advisory system that provides investment suggestions based on user profiles and market trends.,1,4.68,6,9,9012789,1.82,6,AgriTech,Disruptive,Prototype,PhD,1088,25,4,17.36,Low
Digital Marketplace for Local Businesses,"A digital mental health platform providing online counseling, emotional support, and AI-based stress detection tools.",2,0.77,3,5,3981792,0.12,1,EdTech,Incremental,MVP,PG,2816,71,10,33.84,Low
Autonomous Delivery Drone System,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,3,3.14,7,4,7621930,4.26,9,HealthTech,Incremental,MVP,PG,1291,10,6,22.35,Low
Autonomous Delivery Drone System,"An event management platform that automates planning, scheduling, and coordination of events.",2,2.31,4,9,4369122,23.52,1,AI,Disruptive,Idea,PhD,2831,28,5,24.16,Low
Blockchain-Powered Digital Payments,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,3.92,10,9,5431211,9.7,1,E-commerce,Incremental,Idea,PhD,579,56,3,17.76,Low
Virtual Reality Learning Environment,"An event management platform that automates planning, scheduling, and coordination of events.",2,0.55,7,4,6995012,10.81,2,FinTech,Disruptive,MVP,PG,2589,9,10,35.64,Low
IoT Smart Home Automation Solution,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,2,4.66,1,1,9581740,9.6,1,E-commerce,Disruptive,MVP,PhD,4552,61,3,12.74,Low
Fitness Tracking and Recommendation App,A fitness application that tracks user activity and provides personalized workout and health recommendations.,6,0.74,1,2,615109,15.82,1,AgriTech,Disruptive,MVP,PG,2439,72,7,26.5,Low
Smart Waste Management Solution,A smart healthcare platform that continuously tracks patient vitals and enables remote diagnosis through intelligent analytics.,3,1.47,6,6,531291,20.9,7,HealthTech,Incremental,Idea,PG,1969,56,4,20.9,Low
Online Mental Health Support Platform,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,1,3.73,3,3,1162199,4.6,4,HealthTech,Disruptive,Prototype,PG,4126,3,3,11.78,Low
Smart Waste Management Solution,An IoT-enabled home automation system that allows users to control appliances remotely and optimize energy consumption.,3,0.93,10,2,2680111,4.31,8,FinTech,Disruptive,MVP,UG,2979,13,6,22.72,Low
Autonomous Delivery Drone System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",3,1.76,9,10,8509923,5.88,8,FinTech,Disruptive,MVP,PG,791,79,3,17.46,Low
Online Mental Health Support Platform,A smart waste management solution that optimizes garbage collection routes and promotes recycling practices.,1,1.17,2,3,4164087,20.6,7,EdTech,Disruptive,MVP,PhD,1753,78,10,37.18,Low
AI Chatbot for Customer Service,An online marketplace that connects local businesses with customers to promote regional commerce and accessibility.,1,1.1,1,7,2929798,20.95,10,AgriTech,Disruptive,Prototype,PG,4628,10,9,33.79,Low
Smart Traffic Management System,A fitness application that tracks user activity and provides personalized workout and health recommendations.,1,1.07,6,1,1071999,15.39,4,FinTech,Disruptive,Prototype,UG,4829,66,4,18.5,Low
IoT Smart Home Automation Solution,An AI-based fraud detection system that identifies suspicious financial activities in real time.,5,1.53,5,5,4936528,12.5,8,HealthTech,Disruptive,MVP,UG,1266,2,9,32.54,Low
Smart Traffic Management System,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",1,4.44,9,10,8116954,14.29,10,FinTech,Incremental,Prototype,UG,1833,35,6,27.26,Low
E-Learning Personalization Engine,An adaptive e-learning system that personalizes educational content based on student learning behavior and performance.,3,1.23,3,2,1000055,24.02,7,EdTech,Disruptive,Idea,PhD,4583,17,1,9.64,Low
AI Resume Screening Tool,An intelligent chatbot system designed to automate customer interactions and improve service efficiency.,5,4.47,8,9,9137593,7.65,2,HealthTech,Disruptive,Prototype,PG,2506,73,6,26.09,Low
Sustainable Agriculture Analytics Tool,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,1,4.05,10,8,1246236,13.5,1,E-commerce,Incremental,MVP,PhD,4559,100,2,16.1,Low
Automated Financial Advisory System,A data-driven agricultural analytics system that helps farmers optimize crop yield through predictive insights.,6,4.51,5,4,3609696,0.51,9,EdTech,Disruptive,Prototype,PG,765,20,5,18.2,Low
Virtual Reality Learning Environment,A virtual reality platform that enhances learning through immersive and interactive educational experiences.,2,4.36,2,10,3008811,21.83,4,AI,Incremental,Prototype,PhD,4675,77,8,33.51,Low
Online Event Management Platform,An autonomous drone-based delivery system aimed at reducing delivery time and improving logistics efficiency in urban areas.,5,3.69,10,8,5024236,13.43,2,AgriTech,Incremental,Idea,PhD,2942,18,1,11.45,Low
AI Resume Screening Tool,A fitness application that tracks user activity and provides personalized workout and health recommendations.,2,2.84,1,7,5059025,20.33,5,HealthTech,Disruptive,MVP,PG,3376,64,2,13.75,Low
AI Chatbot for Customer Service,"A secure blockchain-based payment solution designed to enhance transparency, reduce fraud, and enable fast digital transactions.",2,3.29,10,6,8141322,11.15,4,FinTech,Incremental,Prototype,PhD,4539,42,5,22.87,Low
Digital Marketplace for Local Businesses,An AI-powered resume analysis tool that evaluates candidate profiles and matches them with suitable job opportunities.,2,0.32,7,7,2894453,13.84,3,AgriTech,Disruptive,MVP,UG,392,74,1,11.45,Low
